Comment,Val,Package,Mid X,Mid Y,Rotation,Layer
"LED8","WS2812B","WS2812B",179.501100,-108.803600,83.079722,top
"LED9","WS2812B","WS2812B",177.701100,-116.103600,69.242791,top
"LED10","WS2812B","WS2812B",174.301100,-122.603600,55.388672,top
"LED11","WS2812B","WS2812B",169.201100,-128.303600,41.540282,top
"LED12","WS2812B","WS2812B",162.901100,-132.503600,27.697622,top
"LED13","WS2812B","WS2812B",155.801100,-135.303600,13.849232,top
"LED14","WS2812B","WS2812B",148.401100,-136.203600,0.000000,top
"LED15","WS2812B","WS2812B",141.001100,-135.303600,-13.847548,top
"LED16","WS2812B","WS2812B",133.901100,-132.503600,-27.701668,top
"LED17","WS2812B","WS2812B",127.701100,-128.303600,-41.538598,top
"LED18","WS2812B","WS2812B",122.701100,-122.603600,-55.392718,top
"LED19","WS2812B","WS2812B",119.301100,-116.103600,-69.241108,top
"LED20","WS2812B","WS2812B",117.501100,-108.803600,-83.078038,top
"LED21","WS2812B","WS2812B",117.501100,-101.203600,-96.932158,top
"LED22","WS2812B","WS2812B",119.301100,-93.903600,-110.769089,top
"LED23","WS2812B","WS2812B",122.701100,-87.403600,-124.617479,top
"LED24","WS2812B","WS2812B",127.601100,-81.703600,-138.471598,top
"LED25","WS2812B","WS2812B",133.801100,-77.503600,-152.308529,top
"LED26","WS2812B","WS2812B",140.901100,-74.703600,-166.162648,top
"LED27","WS2812B","WS2812B",135.101100,-70.703600,22.975608,top
"LED28","WS2812B","WS2812B",127.401100,-74.903600,33.191445,top
"LED29","WS2812B","WS2812B",120.801100,-80.703600,49.641063,top
"LED30","WS2812B","WS2812B",115.901100,-88.003600,62.847741,top
"LED31","WS2812B","WS2812B",112.801100,-96.103600,75.968474,top
"LED32","WS2812B","WS2812B",112.801100,-113.903600,104.817741,top
"LED33","WS2812B","WS2812B",116.001100,-122.103600,119.124497,top
"LED34","WS2812B","WS2812B",120.901100,-129.203600,130.921698,top
"LED35","WS2812B","WS2812B",127.601100,-135.103600,146.970246,top
"LED36","WS2812B","WS2812B",135.201100,-139.103600,157.678827,top
"LED37","WS2812B","WS2812B",161.401100,-139.203600,-157.276073,top
"LED38","WS2812B","WS2812B",169.201100,-135.103600,-146.985751,top
"LED39","WS2812B","WS2812B",176.001100,-129.203600,-132.020093,top
"LED40","WS2812B","WS2812B",180.901100,-122.203600,-117.948250,top
"LED41","WS2812B","WS2812B",184.101100,-113.803600,-104.357691,top
"LED42","WS2812B","WS2812B",184.101100,-96.003600,-75.406134,top
"LED43","WS2812B","WS2812B",181.001100,-87.903600,-62.004651,top
"LED44","WS2812B","WS2812B",176.101100,-80.803600,-49.433957,top
"LED45","WS2812B","WS2812B",169.501100,-75.003600,-34.204739,top
"LED46","WS2812B","WS2812B",161.801100,-70.903600,-23.135194,top
"R1","R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",151.130000,-68.850000,-90.000000,top
"R2","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",128.270000,-108.995000,180.000000,top
"R3","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",140.335000,-107.375000,0.000000,top
"R4","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",140.335000,-109.885000,0.000000,top
"R5","0R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",141.135000,-104.475000,0.000000,top
"R6","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",140.335000,-112.395000,0.000000,top
"R7","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",128.270000,-106.045000,180.000000,top
"U1","L78L08_SOT89","SOT-89-3",135.895000,-91.165000,0.000000,top
"U2","TP4056","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm",129.540000,-100.330000,0.000000,top
"U3","FS8205A","SOT-23-6_Handsoldering",134.620000,-106.985000,0.000000,top
"U4","DW01","SOT-23-6_Handsoldering",134.620000,-111.760000,0.000000,top
"UNK_HOLE_0","","dummyfp0",148.601100,-142.003600,0.000000,top
"UNK_HOLE_2","","dummyfp2",111.501100,-105.003600,0.000000,top
"UNK_HOLE_3","","dummyfp3",148.501100,-68.003600,0.000000,top
